SCOPUS_ID,eid,Author,title of paper,cit_count,uni_name,city,country,type
85073457523,2-s2.0-85073457523,Alexander I.,Predicting indoor position using bluetooth low energy and machine learning,1,Bina Nusantara University,Jakarta,Indonesia,Article
85055978609,2-s2.0-85055978609,Morais R.,Machine learning models for estimating quality of transmission in DWDM networks,39,Siemens Portugal,Amadora,Portugal,Article
85045741036,2-s2.0-85045741036,Fathi F.,"From Big data platforms to smarter solution, with intelligent learning: [PAV] 4 -Pave the way for Intelligence",1,Hassan II University of Casablanca,Casablanca,Morocco,Conference Paper
85047718993,2-s2.0-85047718993,Churchland P.,Neurophilosophy,0,"University of California, San Diego",San Diego,United States,Chapter
77956130685,2-s2.0-77956130685,Yang S.,A novel initialization method for solving flexible job-shop schedulingproblem,4,Huazhong University of Science and Technology,Wuhan,China,Conference Paper
85073457523,2-s2.0-85073457523,Alexander I.,Predicting indoor position using bluetooth low energy and machine learning,1,Bina Nusantara University,Jakarta,Indonesia,Article
85055978609,2-s2.0-85055978609,Morais R.,Machine learning models for estimating quality of transmission in DWDM networks,39,Siemens Portugal,Amadora,Portugal,Article
85045741036,2-s2.0-85045741036,Fathi F.,"From Big data platforms to smarter solution, with intelligent learning: [PAV] 4 -Pave the way for Intelligence",1,Hassan II University of Casablanca,Casablanca,Morocco,Conference Paper
85047718993,2-s2.0-85047718993,Churchland P.,Neurophilosophy,0,"University of California, San Diego",San Diego,United States,Chapter
77956130685,2-s2.0-77956130685,Yang S.,A novel initialization method for solving flexible job-shop schedulingproblem,4,Huazhong University of Science and Technology,Wuhan,China,Conference Paper
